ID,Wave,Wavedummy,province,district,region,resarea,resarearural,gender,age,agegroup,educstat,educstatgroup,hhsize,hhsizegroup,lifestyle,voteintparty,voteintakp,turnout,vote2015,vote2015akp,turnout2015,workstat,unemployed,selfprosper,socialsupport,supchildeduc,suphealth,suppreg,supsenior,supwidow,supdisable,supdinkind,supother,supreceive,akpchange,persfinance,crisis,hardship,retrospers,retrossocio,prospers,prossocio,headcover,ethnicity,ethnicdummy,religiosity,hhincome,minimumwage,loghhincome,hhincgroup,incomebrac,tvnews,ginip,sedip,ginir,sedir,gdpcap17,lngdpcap17,mosques,lnmosques,mosqdens,metro,residgroup,prospect,yenidene
1,032017,Post coup attempt,41,Gebze,East Marmara,Metropolitan,Other,Male,59,44+ Years,Primary School,Below High School,2,1-2 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Retired,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Saving Money,No,No,Disagree,Disagree,Disagree,Disagree,Head Scarf,Turkish,Others,Pious,1400,More than minimum wage,7.2442274,1201-2000TL,New Middle Class,Government affiliated,.32100001,5.1538,.33899999,3.8292,17722.916,9.7826138,1205,7.0942349,.639,No,Apartment,Very positive,Upto minimum wage
2,032017,Post coup attempt,35,Çiğli,Aegean,Metropolitan,Other,Male,45,29-43 Years,High School,High School,4,3-5 Persons,Modern,Undecided,No,Yes,CHP,No,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Has to Borrow,,,Completely Agree,Completely Agree,Completely Agree,Completely Agree,No head cover,Other,Others,Non-believer,2000,More than minimum wage,7.6009026,1201-2000TL,New Middle Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,,,More than minimum wage
3,032017,Post coup attempt,55,Çarşamba,Western Black Sea,Town,Other,Male,33,29-43 Years,High School,High School,3,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Private Sector,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,New Middle Class,Opposition affiliated,.35800001,2.6064999,.34400001,1.7174,7475.147,8.9193392,2712,7.9054418,2.0650001,No,Apartment,Negative,More than minimum wage
4,032017,Post coup attempt,35,Buca,Aegean,Metropolitan,Other,Male,36,29-43 Years,High School,High School,3,3-5 Persons,Religious Conservative,CHP,No,Yes,CHP,No,Yes,Private Sector,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Completely Agree,Completely Agree,No head cover,Turkish,Others,Religious,4000,More than minimum wage,8.2940493,3001-5000TL,Upper Class,,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Negative,More than minimum wage
5,032017,Post coup attempt,26,Tepebaşi,East Marmara,Metropolitan,Other,Male,62,44+ Years,Primary School,Below High School,5,3-5 Persons,Traditional Conservative,Undecided,No,Yes,CHP,No,Yes,"Working, Other",0,Poor,No,No,No,No,No,No,No,No,No,No,No Change,Has to Borrow,Yes,Yes,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Head Scarf,Other,Others,Religious,,More than minimum wage,,,,,.354,4.3188,.33899999,3.8292,11139.148,9.3182211,784,6.6644092,.91000003,No,Gecekondu / Unplastered Apartment,Negative,More than minimum wage
6,032017,Post coup attempt,6,Etimesgut,West Anatolia,Metropolitan,Other,Male,44,29-43 Years,Graduate,University,3,3-5 Persons,Modern,Undecided,No,Yes,,,,Civil Servant,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,No,Yes,Neutral,Disagree,Agree,Neutral,No head cover,Turkish,Others,Religious,8000,More than minimum wage,8.9871969,Higher than 5001TL,Upper Class,Government affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Gated Community,Positive,More than minimum wage
7,032017,Post coup attempt,34,Ümraniye,Istanbul,Metropolitan,Other,Male,60,44+ Years,Secondary School,Below High School,4,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Retired,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,No,No,Disagree,Disagree,Disagree,Disagree,"Hijab, Purdah",Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,New Middle Class,,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Very positive,More than minimum wage
7,062016,Post coup attempt,35,Menemen,Aegean,Town,Other,Male,67,44+ Years,Primary School,Below High School,2,1-2 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Retired,0,Upper Middle,No,No,No,No,No,No,No,Yes,No,Yes,Decrease,Making Ends Meet,No,No,,,,,Head Scarf,Turkish,Others,Religious,1000,Upto minimum wage,6.9077554,701-1200TL,New Middle Class,,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,"Independent, traditional house",Very positive,Upto minimum wage
8,032017,Post coup attempt,34,Ümraniye,Istanbul,Metropolitan,Other,Female,36,29-43 Years,Primary School,Below High School,3,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Disagree,Disagree,Disagree,Disagree,Head Scarf,Turkish,Others,Religious,5000,More than minimum wage,8.5171928,3001-5000TL,Upper Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,"Independent, traditional house",Very positive,More than minimum wage
9,032017,Post coup attempt,34,Esenyurt,Istanbul,Metropolitan,Other,Male,30,18-28 Years,High School,High School,,,,HDP,No,Yes,Did not vote,No,No,"Working, Other",0,Poor,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Head Scarf,Kurdish,Kurdish,Believer,,More than minimum wage,,,,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Negative,More than minimum wage
10,032017,Post coup attempt,58,Merkez,Central Anatolia,Town,Other,Female,32,18-28 Years,University,University,4,3-5 Persons,Traditional Conservative,HDP,No,Yes,HDP,No,Yes,,,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Agree,Agree,Completely Agree,Agree,No head cover,Turkish,Others,Religious,10000,More than minimum wage,9.2103405,Higher than 5001TL,Upper Class,Opposition affiliated,.35800001,1.964,.34099999,1.7397,7362.4536,8.9041481,1345,7.2041492,2.164,No,Apartment,Negative,More than minimum wage
11,032017,Post coup attempt,34,Kağithane,Istanbul,Metropolitan,Other,Female,53,44+ Years,Primary School,Below High School,8,6-8 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,No,No,Completely Disagree,Completely Disagree,Neutral,Neutral,"Hijab, Purdah",Kurdish,Kurdish,Religious,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,,Very positive,Upto minimum wage
12,032017,Post coup attempt,16,Inegöl,East Marmara,Rural,Rural,Female,45,29-43 Years,Primary School,Below High School,6,6-8 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,Yes,Yes,Agree,Agree,Agree,Agree,"Hijab, Purdah",Other,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Class,,.354,4.6698999,.33899999,3.8292,11979.852,9.3909817,1732,7.4570322,.58899999,No,Gecekondu / Unplastered Apartment,Negative,More than minimum wage
13,032017,Post coup attempt,55,Bafra,Western Black Sea,Town,Other,Female,52,44+ Years,Primary School,Below High School,5,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,Yes,Yes,Disagree,Agree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,1300,Upto minimum wage,7.1701198,1201-2000TL,Lower Class,Government affiliated,.35800001,2.6064999,.34400001,1.7174,7475.147,8.9193392,2712,7.9054418,2.0650001,No,Apartment,Negative,Upto minimum wage
14,032017,Post coup attempt,34,Bahçelievler,Istanbul,Metropolitan,Other,Female,56,44+ Years,Primary School,Below High School,3,3-5 Persons,Modern,Undecided,No,Yes,Did not vote,No,No,Worker,0,Poor,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,No,No,Agree,Agree,Agree,Agree,No head cover,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Middle Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Very positive,More than minimum wage
15,032017,Post coup attempt,34,Sariyer,Istanbul,Metropolitan,Other,Female,54,44+ Years,Primary School,Below High School,2,1-2 Persons,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Housewife,0,Poor,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,Yes,Yes,Disagree,Neutral,Agree,Agree,No head cover,Turkish,Others,Believer,3000,More than minimum wage,8.0063677,2001-3000TL,Upper Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,"Independent, traditional house",Negative,More than minimum wage
16,032017,Post coup attempt,34,Kartal,Istanbul,Metropolitan,Other,Male,19,18-28 Years,High School,High School,6,6-8 Persons,Traditional Conservative,Undecided,No,Yes,Was too young to vote,No,,Student,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Has to Borrow,Yes,Yes,Neutral,Neutral,Agree,Agree,,Kurdish,Kurdish,Religious,,More than minimum wage,,,,,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,,Negative,More than minimum wage
17,032017,Post coup attempt,1,Çukurova,Mediterranean,Metropolitan,Other,Male,58,44+ Years,High School,High School,5,3-5 Persons,Traditional Conservative,Undecided,No,Yes,AKP,Yes,Yes,Retired,0,Lower Middle,No,No,Yes,No,No,No,No,No,No,Yes,No Change,Has to Borrow,Yes,Yes,Completely Agree,Agree,Agree,Agree,No head cover,Turkish,Others,Religious,2500,More than minimum wage,7.8240461,2001-3000TL,New Middle Class,Government affiliated,.396,3.3,.396,2.5632999,7735.1973,8.953536,1446,7.2765565,.65200001,No,Apartment,Negative,More than minimum wage
18,032017,Post coup attempt,64,Merkez,Aegean,Town,Other,Female,50,44+ Years,Primary School,Below High School,,,Traditional Conservative,CHP,No,Yes,CHP,No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Increase,Making Ends Meet,,,Completely Agree,Completely Agree,Completely Agree,Completely Agree,No head cover,Turkish,Others,,2000,More than minimum wage,7.6009026,1201-2000TL,,,.354,2.9727001,.36300001,3.7437999,8630.4082,9.0630474,556,6.3207684,1.523,No,"Independent, traditional house",,More than minimum wage
19,032017,Post coup attempt,60,Turhal,Western Black Sea,Rural,Rural,Male,47,29-43 Years,Secondary School,Below High School,7,6-8 Persons,Religious Conservative,MHP,No,Yes,MHP,No,Yes,"Farmer, Agriculturalist, Husbandry",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,No,No,Agree,Agree,Agree,Completely Agree,Head Scarf,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Class,Government affiliated,.35800001,1.6903,.34400001,1.7174,5528.8438,8.617734,1172,7.0664668,1.946,No,"Independent, traditional house",Very positive,More than minimum wage
20,032017,Post coup attempt,55,Bafra,Western Black Sea,Town,Other,Female,32,18-28 Years,Primary School,Below High School,5,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Incapable of Working,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Disagree,Disagree,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,800,Upto minimum wage,6.6846118,701-1200TL,Lower Class,,.35800001,2.6064999,.34400001,1.7174,7475.147,8.9193392,2712,7.9054418,2.0650001,No,Apartment,Negative,Upto minimum wage
21,032017,Post coup attempt,34,Esenyurt,Istanbul,Metropolitan,Other,Male,25,18-28 Years,Secondary School,Below High School,5,3-5 Persons,Religious Conservative,Undecided,No,Yes,HDP,No,Yes,Worker,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,No,Yes,Agree,Completely Agree,Neutral,Neutral,,Kurdish,Kurdish,Religious,3000,More than minimum wage,8.0063677,2001-3000TL,Lower Middle Class,,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Positive,More than minimum wage
22,032017,Post coup attempt,63,Eyyübiye,Southeast Anatolia,Rural,Rural,Male,54,44+ Years,Primary School,Below High School,10,More than 9 Persons,Religious Conservative,AKP,Yes,Yes,MHP,No,Yes,"Farmer, Agriculturalist, Husbandry",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Increase,Barely Makings Ends Meet,No,No,Neutral,Neutral,Neutral,Neutral,Head Scarf,Arab,Others,Religious,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Class,Government affiliated,.41999999,.1666,.38,.1532,3887.9856,8.2656469,1994,7.597898,1.0039999,Yes,"Independent, traditional house",Very positive,Upto minimum wage
23,032017,Post coup attempt,34,Kağithane,Istanbul,Metropolitan,Other,Female,30,18-28 Years,Illiterate,Below High School,5,3-5 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Barely Makings Ends Meet,No,No,Completely Disagree,Completely Disagree,Completely Disagree,Completely Disagree,Head Scarf,Kurdish,Kurdish,Religious,1400,More than minimum wage,7.2442274,1201-2000TL,Lower Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,,Very positive,Upto minimum wage
24,032017,Post coup attempt,64,Merkez,Aegean,Rural,Rural,Male,57,44+ Years,High School,High School,4,3-5 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Retired,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Increase,Making Ends Meet,Yes,No,Agree,Agree,Agree,Agree,Head Scarf,Turkish,Others,Religious,2100,More than minimum wage,7.6496925,2001-3000TL,New Middle Class,Opposition affiliated,.354,2.9727001,.36300001,3.7437999,8630.4082,9.0630474,556,6.3207684,1.523,No,"Independent, traditional house",Positive,More than minimum wage
25,032017,Post coup attempt,34,Esenyurt,Istanbul,Metropolitan,Other,Male,44,29-43 Years,University,University,3,3-5 Persons,Modern,Non-voter,No,No,Voted for Independent,No,Yes,Tradesman,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Increase,Saving Money,,,Disagree,Completely Agree,Neutral,Neutral,No head cover,,,Non-believer,8000,More than minimum wage,8.9871969,Higher than 5001TL,Upper Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,,More than minimum wage
26,032017,Post coup attempt,34,Esenyurt,Istanbul,Metropolitan,Other,Male,54,44+ Years,Primary School,Below High School,10,More than 9 Persons,Religious Conservative,HDP,No,Yes,HDP,No,Yes,Retired,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Neutral,Agree,Neutral,Completely Agree,Head Scarf,Kurdish,Kurdish,Pious,6000,More than minimum wage,8.6995144,Higher than 5001TL,New Middle Class,Opposition affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,,Negative,More than minimum wage
